video_id,title,url,status,caption_type,caption_lang,filename,failure_reason
Bab_6o7JFh4,Introduction to the Oceans,https://www.youtube.com/watch?v=Bab_6o7JFh4,ok,auto-generated,en,crust-to-coast--introduction-to-the-oceans--Bab_6o7JFh4.md,
GIlM8fTmL5M,Getting Our Bearings,https://www.youtube.com/watch?v=GIlM8fTmL5M,ok,auto-generated,en,crust-to-coast--getting-our-bearings--GIlM8fTmL5M.md,
d7IPkfjMZu8,Origin and Structure of Our Earth,https://www.youtube.com/watch?v=d7IPkfjMZu8,ok,auto-generated,en,crust-to-coast--origin-and-structure-of-our-earth--d7IPkfjMZu8.md,
SVLqaSa1bxU,Plate Tectonics and Marine Geology,https://www.youtube.com/watch?v=SVLqaSa1bxU,ok,auto-generated,en,crust-to-coast--plate-tectonics-and-marine-geology--SVLqaSa1bxU.md,
6pAmcsTtYGA,Chemical Oceanography,https://www.youtube.com/watch?v=6pAmcsTtYGA,ok,auto-generated,en,crust-to-coast--chemical-oceanography--6pAmcsTtYGA.md,
i4OB4G6_adI,Physical Oceanography,https://www.youtube.com/watch?v=i4OB4G6_adI,ok,auto-generated,en,crust-to-coast--physical-oceanography--i4OB4G6_adI.md,
OZejCm0ItEE,Marine Sediments,https://www.youtube.com/watch?v=OZejCm0ItEE,ok,auto-generated,en,crust-to-coast--marine-sediments--OZejCm0ItEE.md,
32TQdFJKIlI,Ocean Circulation,https://www.youtube.com/watch?v=32TQdFJKIlI,ok,auto-generated,en,crust-to-coast--ocean-circulation--32TQdFJKIlI.md,
OEsW9K1IwpQ,Oceans and Climate Part 1,https://www.youtube.com/watch?v=OEsW9K1IwpQ,ok,auto-generated,en,crust-to-coast--oceans-and-climate-part-1--OEsW9K1IwpQ.md,
dS0YUOyqN6g,Oceans and Climate,https://www.youtube.com/watch?v=dS0YUOyqN6g,ok,auto-generated,en,crust-to-coast--oceans-and-climate--dS0YUOyqN6g.md,
DRbl0fVgGIo,Geology 5 - Climate Change,https://www.youtube.com/watch?v=DRbl0fVgGIo,failed,,,,no English caption track (manual or auto-generated)
RuNH5O9olfw,Geology 5 - Coastal Oceanography,https://www.youtube.com/watch?v=RuNH5O9olfw,ok,auto-generated,en,crust-to-coast--geology-5-coastal-oceanography--RuNH5O9olfw.md,
9tTM99InluM,Geology 5 - Tides,https://www.youtube.com/watch?v=9tTM99InluM,ok,auto-generated,en,crust-to-coast--geology-5-tides--9tTM99InluM.md,
rK1sWd84S04,Geology 5 - Ice,https://www.youtube.com/watch?v=rK1sWd84S04,ok,auto-generated,en,crust-to-coast--geology-5-ice--rK1sWd84S04.md,
tKqZJZMLbq4,Geology 5 - Animals of the Pelagic Environment,https://www.youtube.com/watch?v=tKqZJZMLbq4,ok,auto-generated,en,crust-to-coast--geology-5-animals-of-the-pelagic-environment--tKqZJZMLbq4.md,
eg8IUjeWZx8,Geology 5 - Animals of the Benthic Environment,https://www.youtube.com/watch?v=eg8IUjeWZx8,ok,auto-generated,en,crust-to-coast--geology-5-animals-of-the-benthic-environment--eg8IUjeWZx8.md,
zvU45nkhhuE,Geology 5 Primary Productivity,https://www.youtube.com/watch?v=zvU45nkhhuE,ok,auto-generated,en,crust-to-coast--geology-5-primary-productivity--zvU45nkhhuE.md,
gT5g8Rhtpyg,Geology 5: Marine life,https://www.youtube.com/watch?v=gT5g8Rhtpyg,ok,auto-generated,en,crust-to-coast--geology-5-marine-life--gT5g8Rhtpyg.md,
7jPK4aOctQo,Geology 5  - Marine Pollution,https://www.youtube.com/watch?v=7jPK4aOctQo,ok,auto-generated,en,crust-to-coast--geology-5-marine-pollution--7jPK4aOctQo.md,
